Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS/CE,PrecoRS/RS,PrecoCE/CE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,45 dias,,-3,,7,18,20,,,,M1294=0046581300023871972U 02IJ287 20260626V20|M1294=LS 11628 PRETO (7MM)|M1294=LS 11628|MFA=REFORCO FR
M6034,(cad.tranç.48fu. 2fios p/esp. 30/2 Nike),,05/03/2026,,,PAR,100cm,"R$ 1,19",,"R$ 1,15",,,,,,,,,,,,,,,,,,
M15055,(cad.tranç.48fu.pol.2fios p/esp.8mm pont.cores),,15/08/2023,,,PAR,100cm,"R$ 1,56",,"R$ 1,52",,,,,,,,,,,,,,,,,,
M15102,(cad.tranç.48fu.pol.2 e 1 fios p/esp.),,01/02/2024,,,PAR,100cm,"R$ 0,96",,"R$ 0,93",,,,,,,,,,,,,,,,,,
M15110,(cad.tranç.48fu.pol.2/3 fios p/esp. 10mm),,28/02/2024,,,PAR,100cm,"R$ 1,16",,"R$ 1,13",,,,,,,,,,,,,,,,,,
M60109,(cad.tranç.48f. 2 e 1fios 30/2 p/esp. 8mm Adidas),,12/02/2026,,,PAR,100cm,"R$ 1,26",,"R$ 1,22",,,,,,,,,,,,,,,,,,
M18006/P,(cad.tranç.32fus.pol. ),,20/07/2023,,,PAR,100cm,"R$ 1,38",,"R$ 1,34",,,,,,,,,,,,,,,,,,
6AL,(cad.tear fio pol.cores 6mm),,20/07/2023,,,PAR,100cm,"R$ 1,13",,"R$ 1,10",,,,,,,,,,,,,,,,,,
M12048,(cad.tear 84fios pol. Cores 8mm Nike),,03/06/2026,,,PAR,100cm,"R$ 1,18",,"R$ 1,14",,,,,,,,,,,,,,,,,,
M12056,(cad.tear 76fios pol. Cores 6mm Nike),,20/04/2023,,,PAR,100cm,"R$ 0,76",,"R$ 0,74",,,,,,,,,,,,,,,,,,
M12125,(cad.tear pol.reflexx cores 6mm Adidas),,18/07/2023,,,PAR,100cm,"R$ 0,94",,"R$ 0,92",,,,,,,,,,,,,,,,,,
M12125,(cad.tear pol.reflexx cores 6mm Adidas) (desconto concedido 15/03/2024),,15/03/2024,,,PAR,100cm,"R$ 0,82",,"R$ 0,80",,,,,,,,,,,,,,,,,,
M12187,(cad.tear 66 fios pol. 8mm Nike Jordan),,30/01/2026,,,PAR,100cm,"R$ 0,78",,"R$ 0,76",,,,,,,,,,,,,,,,,,
M21020,(cad.tear reflexx cores 6mm),,20/07/2023,,,PAR,100cm,"R$ 0,82",,"R$ 0,80",,,,,,,,,,,,,,,,,,
M21020,(cad.tear reflexx cores 8mm),,20/07/2023,,,PAR,100cm,"R$ 1,10","R$ 1,15","R$ 1,07",,,,,,,,,,,,,,,,,,
M22031,(cad.tear 50fios Refelxx tubular 6mm cores Asics),,15/06/2026,,,PAR,100cm,"R$ 0,79",,"R$ 0,77",,,,,,,,,,,,,,,,,,
MR110.002,(cad.tear fio PET cores 6mm),,03/04/2023,,,PAR,100cm,"R$ 1,00",,"R$ 0,97",,,,,,,,,,,,,,,,,,
MR110.004,(cad.tear fio PET cores 6mm),,01/06/2023,,,PAR,100cm,"R$ 1,09",,"R$ 1,06",,,,,,,,,,,,,,,,,,
MR110.004,(cad.tear fio PET cores 6mm) (desconto concedido 15/03/2024),,15/03/2024,,,PAR,100cm,"R$ 0,98",,"R$ 0,95",,,,,,,,,,,,,,,,,,
MR110.013,(cad.tear fio PET cores 6mm),,20/04/2023,,,PAR,100cm,"R$ 1,30",,"R$ 1,26",,,,,,,,,,,,,,,,,,
MR110.030,(cad.tear 66 fios PET 8mm Nike Jordan),,05/03/2026,,,PAR,100cm,"R$ 0,78",,"R$ 0,76",,,,,,,,,,,,,,,,,,
MR130.001,(cad.tranç.32fu.PET 2/3fios p/espu.M18011),,04/08/2023,,,PAR,100cm,"R$ 1,40",,"R$ 1,36",,,,,,,,,,,,,,,,,,
MR140.016,(cad.tranç.48fu.fio 30/2 PET ),,09/06/2023,,,PAR,100cm,"R$ 1,82",,"R$ 1,77",,,,,,,,,,,,,,,,,,
MR140.019,(cad.tranç.48fu. Fio PET cores Nike),,20/02/2025,,,PAR,100cm,"R$ 0,92",,"R$ 0,89",,,,,,,,,,,,,,,,,,
MR140.020,(cad.tranç;48fu.2 e 1fios PET p/esp.8mm Adidas),,25/10/2024,,,PAR,100cm,"R$ 1,06",,"R$ 1,03",,,,,,,,,,,,,,,,,,
MR140.024,(cad.tranç.48fu 2fios PET por espulas 6mm Nike),,20/05/2026,,,PAR,100cm,"R$ 0,98",,"R$ 0,95",,,,,,,,,,,,,,,,,,
M9080,(cordão juta encerado),,18/07/2023,,,PEÇA,17cm,"R$ 0,10",,,,,,,,,,,,,,,,,,,,
M41552,Fita tear com 132 fios poliéster desenho sarjado cores c/refletivo colocado 5mm,0,17/08/2026 21:00:00,,,metros,20mm,"R$ 2,08",0,"R$ 2,02",0,1,,,,,,,,,,,,,,,,
M5124,(fita tear pol. Cores),,17/09/2026,,,METRO,15mm,,"R$ 1,36",,,,,,,,,,,,,,,,,,,
