Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS/CE,PrecoRS/RS,PrecoCE/CE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,,14,14,,7,18,20
MR100.001,(fita pol.RECICLADO(mfgp),,08/11/2023,,,METRO,20mm,"1,28","1,43",,,,,,,,,,,,,,,
MR100.001,(fita pol.RECICLADO(mfgp),,16/12/2020,,,METRO,8mm,"0,46","0,52",,,,,,,,,,,,,,,
MR100.003,(fita pol.Reciclado(MFP),,11/04/2022,,,METRO,10mm,"0,84","0,94",,,,,,,,,,,,,,,
MR100.003,(fita pol.Reciclado(MFP),,11/04/2022,,,METRO,15mm,"1,26","1,4",,,,,,,,,,,,,,,
MR100.003,(fita pol.Reciclado(MFP),,16/12/2020,,,METRO,20mm,"1,1","1,22",,,,,,,,,,,,,,,
MR100.003,(fita pol.Reciclado(MFP),,11/04/2022,,,METRO,8mm,"0,68","0,76",,,,,,,,,,,,,,,
MR100.004,(fit.pol.recicaldo 1 lado sublimado),,17/12/2020,,,METRO,15mm,"0,9",1,,,,,,,,,,,,,,,
MR100.004,(fit.pol.recicaldo 1 lado sublimado),,11/04/2022,,,METRO,20mm,"1,68","1,87",,,,,,,,,,,,,,,
MR100.015,(fita tear PET cores c/goma,,17/12/2020,,,PAR,100cm,"1,84","2,04",,,,,,,,,,,,,,,
MR100.015,(fita tear PET cores c/goma,,31/10/2022,,,METRO,30mm,"2,72","3,02",,,,,,,,,,,,,,,
MR100.035,(fita tear PET bicolor),,31/10/2022,,,METRO,20mm,"1,82","2,02",,,,,,,,,,,,,,,
MR110.016,(cad.tear PET c/detalhe pont.7mm),,24/05/2022,,,METRO,1000mm,"0,44","0,49",,,,,,,,,,,,,,,
MR110.016,(cad.tear PET c/detalhe pont.7mm),,24/05/2022,,,PAR,100cm,"0,9",1,,,,,,,,,,,,,,,
MR110.017,(cad.tear 76 fios PET 10mm cores),,23/10/2024,,,PAR,100cm,"1,18","1,34",,,,,,,,,,,,,,,
MR130.004,(cad.tranç.32fu.reciclado),,17/12/2020,,,PAR,100cm,"1,77","1,95",,,,,,,,,,,,,,,
MTM,(elás.tear pol. Cores Neon fosforec),,25/01/2021,,,METRO,10mm,"1,12","1,24",,,,,,,,,,,,,,,
MTM,(elást.tear poliéster),,25/01/2021,,,METRO,10mm,"1,55","1,72",,,,,,,,,,,,,,,
MTM,(elas.tear com lurex),,14/10/2025,,,METRO,110mm,"13,75","15,54",,,,,,,,,,,,,,,
MTM,(elás.tear poliéster),,17/01/2024,,,METRO,150mm,"14,25","15,9",,,,,,,,,,,,,,,
MTM,(elásti.listado),,25/01/2021,,,METRO,20mm,"2,5","2,78",,,,,,,,,,,,,,,
MTM,(elást. Monocolor pol.tear),,25/01/2021,,,METRO,24mm,"3,01","3,34",,,,,,,,,,,,,,,
MTM,(elást.tear fio poliéster c/4x),,25/01/2021,,,METRO,30mm,"3,75","4,16",,,,,,,,,,,,,,,
MTM,(elástico tear pol.),,06/07/2026,,,METRO,400mm,61,"69,54",,,,,,,,,,,,,,,
MTM,(elástico tear pol.),,25/01/2021,,,METRO,45mm,"7,04","7,81",,,,,,,,,,,,,,,
MTM,(elást.tear poliéster c/5x),,18/01/2024,,,METRO,70mm,"7,4","8,22",,,,,,,,,,,,,,,
MTM,(c/desconto em 4x) (elást.tear poliéster),,05/10/2022,,,METRO,90mm,"11,7","12,99",,,,,,,,,,,,,,,
MTM,(elástic.sublimação),,05/10/2022,,,METRO,90mm,"9,4","10,44",,,,,,,,,,,,,,,
