Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,60/90,-3,-3
M21020 6MM,(cad.tear Reflexx 6mm preto/cores Mormaii),,01/09/2022,,(cad.tear Reflexx 6mm preto/cores Mormaii),PAR,100cm,"0,72",,"0,7",,,,,,,,,,
M21020 6MM,(com desconto 05/12/2024),,05/12/2024,,(com desconto 05/12/2024),PAR,100cm,"0,59",,"0,57",,,,,,,,,,
M21058,(cad.tear 64fios helanca c/12fios ligamento 72fios ench. Skechers),,29/04/2026,,,PAR,100cm,"1,64",,,,,,,,,,,,
M22007 6MM,(cad.tear pol. 6mm tubular s/enchim.),,01/09/2022,,,PAR,100cm,"0,92",,"0,9",,,,,,,,,,
M22007 6MM,(cad.tear pol.6mm tubular s/ench.c/ponteira Oakley),,01/09/2022,,,PAR,100cm,"1,2",,"1,16",,,,,,,,,,
M22013,(cad.tera poliester),,11/02/2021,,,PAR,100cm,,,"0,86",,,,,,,,,,
M22022 7MM,(cad.tear reflexx 7mm),,01/09/2022,,,PAR,100cm,"0,78",,"0,76",,,,,,,,,,
M22042 6MM,(cad.tear pol. 6mm c/um fio refletivo 1mm),,01/09/2022,,,PAR,100cm,"1,64",,,,,,,,,,,,
M22056 6MM,(cad.tear 6mm 34 fios pol.2x167/48 e 24 fios pol.brilhante 1x379/72),,02/12/2022,,,PAR,100cm,"1,28",,"1,24",,,,,,,,,,
M22057 6MM,(cad.tear 6mm 34 fios pol. 2x167/48 e 24 fios lurex),,28/01/2023,,,PAR,100cm,"1,5",,"1,46",,,,,,,,,,
M22064 7MM,(cad.tear pol.desenho V 7mm 90Fios),,26/09/2023,,,PAR,100cm,"1,28",,"1,24",,,,,,,,,,
M22064 8MM,(cad.tear pol.desenho V 8mm OUS),,26/07/2024,,,PAR,100cm,"1,62",,"1,57",,,,,,,,,,
M22064 9MM,(cad.tear pol.desenho V 9mm OUS),,26/07/2024,,,PAR,100cm,"1,82",,"1,77",,,,,,,,,,
M22064 10MM,(cad.tear pol.desenho V 10mm),,01/07/2024,,,PAR,100cm,"2,02",,"1,96",,,,,,,,,,
M22071 6MM,(cad.tear 56fios pol.Tubular impor.Avanti 6mm preto Mormaii),,04/07/2025,,(cad.tear 56fios pol.Tubular impor.Avanti 6mm preto Mormaii),PAR,100cm,"0,42",,,,,,,,,,,,
M22071 6MM,(cad.tear 57fios pol.tubular cores diversas 6mm Mormaii),,04/07/2025,,(cad.tear 57fios pol.tubular cores diversas 6mm Mormaii),PAR,100cm,"0,67",,,,,,,,,,,,
M22072 6MM,(cad.tear 56fios pol.Tubular impor.Avanti 6mm cores Mormaii),,04/07/2025,,,PAR,100cm,"0,67",,,,,,,,,,,,
M22072,(desconto conceddo 29/08/2025) (cad.tear 56fios pol.Tubular impor.Avanti 6mm cores Mormaii),,29/08/2025,,(desconto conceddo 29/08/2025),PAR,100cm,"0,59",,,,,,,,,,,,
J31116,(Fita cadarço Jacar fio POLIMP c/ escrita PUMA),,12/06/2023,,,PAR,100cm,"1,77",,,,,,,,,,,,
