Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22
,,,12/01/2022,,,metro,4 MM,"0,39","0,38","0,38",,,"0,44","0,43",
,,,01/11/2022,,,metro,4 MM,"0,44","0,43","0,43",,,,,
,,,12/01/2022,,,metro,6 MM,"0,53","0,51","0,51",,,"0,59","0,57",
,,,01/11/2022,,,metro,6 MM,"0,59","0,57","0,57",,,,,
,,,,,,,,,,,,,,,
MFGP/T2 C/Goma,,,12/01/2022,,,metro,4 MM,"0,45","0,44","0,44",,,"0,52","0,5",
MFGP/T2 C/Goma,,,01/11/2022,,,metro,4 MM,"0,52","0,50","0,50",,,,,
MFGP/T2 C/Goma,,,12/01/2022,,,metro,8 MM,"0,59","0,57","0,57",,,"0,65","0,63",
MFGP/T2 C/Goma,,,01/11/2022,,,metro,8 MM,"0,65","0,63","0,63",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M2173(fita tear elastano tingido),,,13/09/2022,,,metro,15 MM,"2,80",,,,,,,
,,,13/09/2022,,,metro,17 MM,"3,20",,,,,,,
,,,,,,,,,,,,,,,
M4027 fita tear pol.c/goma,,,01/03/2021,,,metro,10 MM,"0,67","0,65","0,65",,,,,
,,,,,,,,,,,,,,,
M4027(fita pol. c/goma),,,01/03/2021,,,metro,12 MM,"0,80","0,78","0,78",,,,,
,,,,,,,,,,,,,,,
M4027 (fita pol. c/goma),,,01/03/2021,,,metro,40 MM,"2,67","2,59","2,59",,,,,
,,,,,,,,,,,,,,,
M4028(fita tear pol. 82 fios Jhonson Murphy),,,28/11/2023,,,metro,10 MM,,,,,,"0,54","0,52",
M4028(fita tear pol. 82 fios Jhonson Murphy),,,01/11/2022,,,metro,10 MM,"0,54","0,52","0,52",,,,,
,,,28/11/2023,,,metro,15 MM,,,,,,"0,81","0,79",
,,,01/11/2022,,,metro,15 MM,"0,81","0,79","0,79",,,,,
,,,,,,,,,,,,,,,
M4139(fita tear fio helanca cores),,,15/10/2024,,,metro,10 MM,,,,,,,,
