Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22
M32230(fita tear pol.128fios formato V New Balance),,,01/11/2022,,,metro,15 MM,"1,01","0,98","0,98",,,,,
,,,,,,,,,,,,,,,
M32222(fita tear pol. Fila c/cordão passador M9091 c/goma),,,21/06/2023,,,metro,10 MM,,,,,,"2,78","2,7",
M32222(fita tear pol. Fila c/cordão passador M9091 c/goma),,,01/11/2022,,,metro,10 MM,"2,78","2,70","2,70",,,,,
,,,,,,,,,,,,,,,
M32241(fita tear 124 fios pol. c/detalhe borda FILA),,,01/11/2022,,,metro,15 MM,"0,91","0,88","0,88",,,"2,24","2,18",
M32241(fita tear 124 fios pol. c/detalhe borda FILA),,,01/11/2022,,,metro,15 MM,"2,24","2,18","2,18",,,,,
,,,,,,,,,,,,,,,
M32230(fita tear pol.128fios formato V New Balance),,,05/12/2023,,,metro,15 MM,,,,,,"1,01","0,98",
M32230(fita tear pol.128fios formato V New Balance),,,01/11/2022,,,metro,15 MM,"1,01","0,98","0,98",,,,,
,,,,,,,,,,,,,,,
M32231(fita tera 52fios pol.+96fios PET borda calandrada),,,11/08/2023,,,metro,"18,5 MM",,,,,,"1,18",,
,,,,,,,,,,,,,,,
M32241(fita tear 124 fios pol. c/detalhe borda FILA),,,30/03/2026,,,metro,15 MM,,,,,,"0,91","0,88",
M32241(fita tear 124 fios pol. c/detalhe borda FILA),,,01/11/2022,,,metro,15 MM,"0,91","0,88","0,88",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M41462(fita tear pol. Cores),,,12/01/2022,,,metro,12 MM,"0,50","0,49","0,49",,,"0,6","0,58",
M41462(fita tear pol. Cores),,,01/11/2022,,,metro,12 MM,"0,60","0,58","0,58",,,,,
,,,,,,,,,,,,,,,
M41462(fita tear pol. Cores c/goma),,,12/01/2022,,,metro,12 MM,"0,65","0,63","0,63",,,"0,7","0,68",
M41462(fita tear pol. Cores c/goma),,,01/11/2022,,,metro,12 MM,"0,70","0,68","0,68",,,,,
M41476 (fita pol.normal),,,01/11/2022,,,metro,12 MM,"0,60","0,58","0,58",,,,,
M41463,,,12/01/2022,,,metro,12 MM,"0,50","0,49","0,49",,,,,
,,,,,,,,,,,,,,,
M41463(fita tear pol.bicolor New Balance),,,01/04/2022,,,metro,8 MM,"0,78","0,76","0,76",,,,,
,,,01/04/2022,,,metro,15 MM,"1,46","1,42","1,42",,,,,
,,,,,,,,,,,,,,,
M41467(fita pol.c/goma pré-encilhimento),,,29/03/2022,,,metro,24 MM,"2,20","1,14","1,14",,,,,
,,,29/03/2022,,,metro,12 MM,"1,10","1,07","1,07",,,,,
"M41486(fita tear pol.nylon015 refletivo 0,5mm)",,,01/11/2022,,,metro,10 MM,"4,30","4,18","4,18",,,,,
M41476 (fita pol.normal),,,01/03/2021,,,metro,12 MM,"0,57","0,55","0,55",,,"0,6","0,58",
M41476 (fita pol.normal),,,01/11/2022,,,metro,12 MM,"0,60","0,58","0,58",,,,,
M41476 (fita pol.normal),(ajustar preço a partir 09/2022),,26/08/2022,,,metro,12 MM,"0,60","0,58","0,58",,,,,
,,,,,,,,,,,,,,,
M41476(fita tear pol. Cores c/goma),,,26/08/2022,,,metro,12 MM,"0,69","0,67","0,67",,,,,
,,,,,,,,,,,,,,,
M41484 (fita pol. Bicolor,,,19/10/2020,,,metro,8 MM,"0,98","0,95","0,95",,,,,
,,,,,,,,,,,,,,,
"M41486(fita tear pol.nylon015 refletivo 0,5mm)",,,14/06/2021,,,metro,10 MM,"4,08","3,96","3,96",,,"4,3","4,18",
"M41486(fita tear pol.nylon015 refletivo 0,5mm)",,,01/11/2022,,,metro,10 MM,"4,30","4,18","4,18",,,,,
M41539(fita tear pol. Sarjado tricolor Fila),,,01/11/2022,,,metro,16 MM,"1,17","1,13","1,13",,,,,
M41495(fita tear pol.tricolor),,,12/01/2022,,,metro,15 MM,"0,94","0,91","0,91",,,,,
,,,,,,,,,,,,,,,
M41545(fita tear 132fios Polimp sarjada calandrada New Balance),,,01/11/2022,,,metro,5 MM,"0,28","0,27","0,27",,,,,
,,,,,,,,,,,,,,,
,,,01/11/2022,,,metro,10 MM,"0,46","0,45","0,45",,,,,
,,,,,,,,,,,,,,,
,,,01/11/2022,,,metro,12 MM,"0,54","0,52","0,52",,,,,
,,,,,,,,,,,,,,,
M41539(fita tear pol. Sarjado tricolor Fila),,,23/05/2023,,,metro,16 MM,,,,,,"1,17","1,13",
M41539(fita tear pol. Sarjado tricolor Fila),,,01/11/2022,,,metro,16 MM,"1,17","1,13","1,13",,,,,
,,,,,,,,,,,,,,,
M41545(fita tear 132fios Polimp sarjada calandrada New Balance),,,29/05/2024,,,metro,5 MM,,,,,,"0,28","0,27",
M41545(fita tear 132fios Polimp sarjada calandrada New Balance),,,01/11/2022,,,metro,5 MM,"0,28","0,27","0,27",,,,,
,,,29/05/2024,,,metro,10 MM,,,,,,"0,46","0,45",
,,,01/11/2022,,,metro,10 MM,"0,46","0,45","0,45",,,,,
,,,29/05/2024,,,metro,12 MM,,,,,,"0,54","0,52",
,,,01/11/2022,,,metro,12 MM,"0,54","0,52","0,52",,,,,
,,,,,,,,,,,,,,,
M41546(fita tear 92fios pol. c/reflet.6mm colado FILA),,,06/05/2024,,,metro,20 MM,,,,,,"3,98",,
,,,,,,,,,,,,,,,
"M41547(fita tear 60fios pol.+5fios reflet.0,5mm New Balance)",,,10/05/2024,,,metro,12 MM,,,,,,"2,95",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M41549(fita tear 98 fios pol.+2fios refletivo 2mm c/goma Asics),,,28/06/2024,,,metro,14 MM,,,,,,"3,97",,
,,,,,,,,,,,,,,,
M41554(fita tear 112fios helanca calandrado um lado New Balance),,,14/10/2024,,,metro,15 MM,,,,,,"1,08",,
,,,,,,,,,,,,,,,
M41555(fita tear 72fios pol. Sublimada 1 lado Adidas),,,16/10/2024,,,metro,10 MM,,,,,,"0,51",,
,,,,,,,,,,,,,,,
"M2140(elás.red.2,5mm p/mt preço novo)",,,01/11/2022,,,Metro,,"0,98","0,95","0,95",,,"2,51",,
,,,01/11/2022,,,PEÇAS,100 CM,"1,01","0,98","0,98",,,,,
M41562(fita tear 152fios pol.brilhante FILA AREZZO),,,04/12/2025,,,metro,15 MM,,,,,,"0,98","0,96",
M41562(fita tear 152fios pol.brilhante FILA AREZZO),,,01/11/2022,,,metro,15 MM,"0,98","0,96","0,96",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M21047(fita tear elastano c/80fios c/friso cores Umbro),,,01/11/2022,,,metro,15 MM,"1,58","1,54","1,54",,,,,
,,,,,,,,,,,,,,,
MTM(elást. Tear pol. Cores),,,09/11/2022,,,metro,6 MM,"0,66","0,64","0,64",,,,,
MTM(elást.tear fio pol. Cores),,,18/06/2025,,,PARES,100 CM,"1,38","1,34","1,34",,,,,
"M21048(elást.red.2,5mm tranç.16f.)",,,01/11/2022,,,PARES,100 CM,"2,01","1,95","1,95",,,,,
,,,,,,,,,,,,,,,
,,,01/11/2022,,,metro,,"0,99","0,96","0,96",,,"2,01","1,95",
,,,01/11/2022,,,metro,,"2,01","1,95","1,95",,,,,
"M2140(elás.red.2,5mm p/mt preço novo)",,,15/12/2020,,,Metro,,,"0,90","0,90",,,"0,98","0,95",
"M2140(elás.red.2,5mm p/mt preço novo)",,,1/11/2022,,,Metro,,"0,98","0,95","0,95",,,,,
,,,01/03/2021,,,PEÇAS,100 CM,,,,,,"1,01","0,98",
,,,01/11/2022,,,PEÇAS,100 CM,"1,01","0,98","0,98",,,,,
,,,,,,,,,,,,,,,
M2171(Elas.tear tipo MTM pol.sublimado um lado),,,12/08/2022,,,metro,50 MM,"6,30",,,,,,,
,,,,,,,,,,,,,,,
M21047(fita tear elastano c/80fios c/friso cores Umbro),,,08/08/2024,,,metro,15 MM,,,,,,"1,58","1,54",
M21047(fita tear elastano c/80fios c/friso cores Umbro),,,01/11/2022,,,metro,15 MM,"1,58","1,54","1,54",,,,,
"M21180(elásti.redondo 2,5mm bicolor ponteirado)",,,01/11/2022,,,PARES,100 CM,"2,01","1,95","1,95",,,,,
,,,,,,,,,,,,,,,
"M21048(elást.red.2,5mm tranç.16f.)",,,07/12/2021,,,PARES,100 CM,"1,96","1,90","1,90",,,"2,01","1,95",
"M21048(elást.red.2,5mm tranç.16f.)",,,01/11/2022,,,PARES,100 CM,"2,01","1,95","1,95",,,,,
,,,,,,metro,,,,,,,"0,99","0,96",
,,,01/11/2022,,,metro,,"0,99","0,96","0,96",,,,,
,,,,,,,,,,,,,,,
M21193(Elást.tranç.16fu.redondo 2fios pol.p/esp.multicores Fila),,,01/11/2022,,,metro,4 MM,"1,56","1,52","1,52",,,,,
,,,,,,,,,,,,,,,
M21193(Elást.tranç.16fu.redondo 2fios pol.p/esp.multicores Fila),,,01/11/2022,,,,,"1,44","1,40","1,40",,,,,
,,,,,,,,,,,,,,,
M21103(elast.tear pol. Cores diversas),,,01/03/2021,,,metro,15 MM,"2,22",,,,,,,
M21194(Elást.tranç.16fu.redondo 2fios pol.p/esp.multicores Fila),,,01/11/2022,,,metro,3 MM,"0,99","0,96","0,96",,,,,
M21103(elásti.tear pol.cores diversas),,,01/03/2021,,,metro,20 MM,"2,92",,,,,,,
M21194(Elást.tranç.16fu.redondo 2fios pol.p/esp.multicores Fila),,,01/11/2022,,,,,"0,91","0,88","0,88",,,,,
"M21180(elásti.redondo 2,5mm bicolor ponteirado)",,,07/08/2023,,,PARES,100 CM,,,,,,"2,01","1,95",
"M21180(elásti.redondo 2,5mm bicolor ponteirado)",,,01/11/2022,,,PARES,100 CM,"2,01","1,95","1,95",,,,,
,,,,,,,,,,,,,,,
M21147(elást.tear pol.c/goma pré-encolh.),,,08/06/2021,,,metro,65 MM,"12,80",,,,,,,
,,,08/06/2021,,,metro,70 MM,"13,80",,,,,,,
,,,08/06/2021,,,metro,50 MM,"9,90",,,,,,,
,,,,,,,,,,,,,,,
M21193(Elást.tranç.16fu.redondo 2fios pol.p/esp.multicores Fila),,,26/03/2025,,,metro,4 MM,,,,,,"1,56","1,52",
M21193(Elást.tranç.16fu.redondo 2fios pol.p/esp.multicores Fila),,,01/11/2022,,,metro,4 MM,"1,56","1,52","1,52",,,,,
M21193(Elást.tranç.16fu.redondo 2fios pol.p/esp.multicores Fila),(com desconto concedido),,26/03/2025,,,,,,,,,,"1,44","1,4",
M21193(Elást.tranç.16fu.redondo 2fios pol.p/esp.multicores Fila),,,01/11/2022,,,,,"1,44","1,40","1,40",,,,,
,,,,,,,,,,,,,,,
M21194(Elást.tranç.16fu.redondo 2fios pol.p/esp.multicores Fila),,,26/03/2025,,,metro,3 MM,,,,,,"0,99","0,96",
M21194(Elást.tranç.16fu.redondo 2fios pol.p/esp.multicores Fila),,,01/11/2022,,,metro,3 MM,"0,99","0,96","0,96",,,,,
"M9098(cad.tranç.16fu.2 e 1 fio pol. p/espula 1,5mm Asics)",,,01/11/2022,,,metro,"1,5 MM","0,45","0,44","0,44",,,"0,91","0,88",
"M9098(cad.tranç.16fu.2 e 1 fio pol. p/espula 1,5mm Asics)",,,01/11/2022,,,metro,"1,5 MM","0,91","0,88","0,88",,,,,
,,,,,,,,,,,,,,,
"M9099(cad.tranç.16fu.1 e 2 fio pol.p/espula 1,8mm c/dois enchimento Asics)",,,01/11/2022,,,metro,"1,8 MM","0,37","0,36","0,36",,,"4,19",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"M90100(cad.tranç.16fu. 2fios pol.p/espula 2,5mm espessura Fila)",,,01/11/2022,,,PARES,100 CM,"0,89","0,86","0,86",,,,,
,,,,,,,,,,,,,,,
"M9077(cord.tranç.16f.pol.1,5mm)",,,01/03/2021,,,metro,"1,5 MM","0,50","0,49","0,49",,,,,
,,,,,,,,,,,,,,,
"M9089(fio PET reciclado 1,8mm cru Nike)",,,09/01/2023,,,metro,"1,8 MM","0,50",,,,,,,
M6034(cad.tranç.48fu.fio 30/2 fiado FILA),,,01/11/2022,,,PARES,100 CM,"1,74","1,69","1,69",,,,,
M9094(cadarço c/fio retorcido PET NE 14/2 MAXITEX P/NIKE),,,08/07/2024,,,metro,NE14/2,"0,50",,,,,,,
,,,,,,,,,,,,,,,
M6083(cad.tranç.48fu.fio 30/2 fiado Asics 6mm),,,01/11/2022,,,PARES,100 CM,"1,34","1,30","1,30",,,"0,45","0,44",
M6083(cad.tranç.48fu.fio 30/2 fiado Asics 6mm),,,01/11/2022,,,PARES,100 CM,"0,45","0,44","0,44",,,,,
,,,,,,,,,,,,,,,
M6086(cad.tranç.40fu. 2fios 30/2 p/espula (produzir amostra maq.48fu.) Adidas),,,01/11/2022,,,PARES,100 CM,"1,32","1,28","1,28",,,"0,37","0,36",
M6086(cad.tranç.40fu. 2fios 30/2 p/espula (produzir amostra maq.48fu.) Adidas),,,01/11/2022,,,PARES,100 CM,"0,37","0,36","0,36",,,,,
(com desconto concedito 25/03/2026),,,01/11/2022,,,PARES,100 CM,"1,24","1,20","1,20",,,,,
,,,,,,,,,,,,,,,
"M90100(cad.tranç.16fu. 2fios pol.p/espula 2,5mm espessura Fila)",,,14/05/2026,,,PARES,100 CM,,,,,,"0,89","0,86",
"M90100(cad.tranç.16fu. 2fios pol.p/espula 2,5mm espessura Fila)",,,01/11/2022,,,PARES,100 CM,"0,89","0,86","0,86",,,,,
3000/2-32(ca.tranç.32fu.2fios pol.p/espu. c/ench.),,,01/11/2022,,,PARES,100 CM,"1,12","1,09","1,09",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M6034(cad.tranç.48fu.fio 30/2 fiado FILA),,,19/07/2021,,,PARES,100 CM,"1,64","1,59","1,59",,,"1,74","1,69",
M6034(cad.tranç.48fu.fio 30/2 fiado FILA),,,01/11/2022,,,PARES,100 CM,"1,74","1,69","1,69",,,,,
"3000/6(cad.tranç.16fu.pol.4,0mm cores)",,,01/11/2022,,,PARES,100 CM,"0,96","0,93","0,93",,,,,
M6083(cad.tranç.48fu.fio 30/2 fiado Asics 6mm),,,27/06/2023,,,PARES,100 CM,,,,,,"1,34","1,3",
M6083(cad.tranç.48fu.fio 30/2 fiado Asics 6mm),,,01/11/2022,,,PARES,100 CM,"1,34","1,30","1,30",,,,,
6AL,,,01/11/2022,,,PARES,100 CM,"0,59","0,58","0,58",,,,,
M6086(cad.tranç.40fu. 2fios 30/2 p/espula (produzir amostra maq.48fu.) Adidas),,,12/01/2022,,,PARES,100 CM,"1,18",,,,,"1,32","1,28",
M6086(cad.tranç.40fu. 2fios 30/2 p/espula (produzir amostra maq.48fu.) Adidas),,,01/11/2022,,,PARES,100 CM,"1,32","1,28","1,28",,,,,
6AL-N,,,01/11/2022,,,PARES,100 CM,"0,62","0,60","0,60",,,"1,24","1,2",
6AL-N,,,01/11/2022,,,PARES,100 CM,"1,24","1,20","1,20",,,,,
,,,,,,,,,,,,,,,
6AL-F,,,01/11/2022,,,PARES,100 CM,"0,66","0,63","0,63",,,,,
3000/2-32(ca.tranç.32fu.2fios pol.p/espu. c/ench.),,,08/05/2025,,,PARES,100 CM,,,,,,"1,12","1,09",
3000/2-32(ca.tranç.32fu.2fios pol.p/espu. c/ench.),,,01/11/2022,,,PARES,100 CM,"1,12","1,09","1,09",,,,,
M13054,,,01/11/2022,,,PARES,100 CM,"0,78","0,76","0,76",,,,,
"3000/4 TA(cad.tranç.16fu.pol.3,0mm cores)",,,14/06/2021,,,metro,,"0,73",,,,,,,
,,,,,,,,,,,,,,,
"3000/6(cad.tranç.16fu.pol.4,0mm cores)",,,12/01/2022,,,PARES,100 CM,"0,91","0,89","0,89",,,"0,96","0,93",
"3000/6(cad.tranç.16fu.pol.4,0mm cores)",,,01/11/2022,,,PARES,100 CM,"0,96","0,93","0,93",,,,,
,,,,,,,,,,,,,,,
6AL,,,12/01/2022,,,PARES,100 CM,"0,51","0,50","0,50",,,"0,59","0,58",
6AL,,,01/11/2022,,,PARES,100 CM,"0,59","0,58","0,58",,,,,
,,,,,,,,,,,,,,,
M13461(cad.tranç.32fu.5fios pol. p/espulas 10mm New Balance),,,01/11/2022,,,PARES,100 CM,"1,64","1,59","1,59",,,"0,62","0,6",
M13461(cad.tranç.32fu.5fios pol. p/espulas 10mm New Balance),,,01/11/2022,,,PARES,100 CM,"0,62","0,60","0,60",,,,,
,,,,,,,,,,,,,,,
6AL-F,,,12/01/2022,,,PARES,100 CM,"0,57","0,55","0,55",,,"0,66","0,63",
6AL-F,,,01/11/2022,,,PARES,100 CM,"0,66","0,63","0,63",,,,,
,,,,,,,,,,,,,,,
M13054,,,12/01/2022,,,PARES,100 CM,"0,70","0,68","0,68",,,"0,78","0,76",
M13054,,,01/11/2022,,,PARES,100 CM,"0,78","0,76","0,76",,,,,
,,,,,,,,,,,,,,,
M13119 6mm(cad.tranç.32f.pol.cores),,,12/01/2022,,,PARES,100 CM,"0,86","0,83","0,83",,,,,
,,,,,,,,,,,,,,,
"M13675(cad.tranç.32fu.pol. 12 fios reflet.0,5mm)",,,01/11/2022,,,PARES,100 CM,"11,80","11,45","11,45",,,,,
,,,,,,,,,,,,,,,
"M13675(cad.tranç.32fu.pol. 12 fios reflet.0,5mm)",,,1/11/2022,,,metro,,"5,85","5,70","5,70",,,,,
,,,,,,,,,,,,,,,
M13461(cad.tranç.32fu.5fios pol. p/espulas 10mm New Balance),,,12/09/2025,,,PARES,100 CM,,,,,,"1,64","1,59",
M13461(cad.tranç.32fu.5fios pol. p/espulas 10mm New Balance),,,01/11/2022,,,PARES,100 CM,"1,64","1,59","1,59",,,,,
M13676(cad.tranç.32f.pol.red.bicolor Fila),,,01/11/2022,,,PARES,100 CM,"1,27","1,24","1,24",,,,,
M13476(cad.tranç.32fu.pol.bicolor 6mm),,,12/05/2022,,,PARES,100 CM,"1,05","1,02","1,02",,,,,
M13676(cad.tranç.32f.pol.red.bicolor Fila),,,01/11/2022,,,PARES,100 CM,"1,27","1,24","1,24",,,,,
M13547(cad.tranç.32fus.pol.color),,,01/03/2021,,,PARES,100 CM,"1,06","1,03","1,03",,,,,
,,,,,,,,,,,,,,,
M13706(cad.tranç.32fu.pol.tub.4fios espu.bicol),,,01/11/2022,,,PARES,100 CM,"1,56","1,52","1,52",,,,,
,,,,,,,,,,,,,,,
M13706(cad.tranç.32fu.pol.tub.4fios espu.bicol),,,01/11/2022,,,PARES,100 CM,"1,54","1,50","1,50",,,,,
,,,,,,,,,,,,,,,
"M13675(cad.tranç.32fu.pol. 12 fios reflet.0,5mm)",,,27/06/2022,,,PARES,100 CM,"11,80","11,45","11,45",,,,,
"M13675(cad.tranç.32fu.pol. 12 fios reflet.0,5mm)",,,27/06/2022,,,metro,,"5,85","5,70","5,70",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M13724(cad.tranç.32fu.pol.chato c/detalhe 6mm),,,01/11/2022,,,PARES,100 CM,"0,72","0,70","0,70",,,"1,27","1,24",
M13724(cad.tranç.32fu.pol.chato c/detalhe 6mm),,,01/11/2022,,,PARES,100 CM,"1,27","1,24","1,24",,,,,
M13724(cad.tranç.32fu.pol.chato c/detalhe 6mm),,,01/11/2022,,,PARES,100 CM,"0,62","0,60","0,60",,,,,
,,,,,,,,,,,,,,,
M13725(cad.tranç.32fu.pol.redondo monocolor ),,,01/11/2022,,,PARES,100 CM,"0,82","0,80","0,80",,,,,
M13725(cad.tranç.32fu.pol.redondo monocolor ),,,01/11/2022,,,PARES,100 CM,"0,75","0,73","0,73",,,,,
,,,,,,,,,,,,,,,
M13727(cad.tranç.32fu.pol.redondo c/detalhe),,,01/11/2022,,,PARES,100 CM,"0,82","0,80","0,80",,,"0,72","0,7",
M13727(cad.tranç.32fu.pol.redondo c/detalhe),,,01/11/2022,,,PARES,100 CM,"0,72","0,70","0,70",,,,,
M13727(cad.tranç.32fu.pol.redondo c/detalhe),,,01/11/2022,,,PARES,100 CM,"0,75","0,73","0,73",,,"0,62","0,6",
M13727(cad.tranç.32fu.pol.redondo c/detalhe),,,01/11/2022,,,PARES,100 CM,"0,62","0,60","0,60",,,,,
,,,,,,,,,,,,,,,
"M13734(cad.tranç.32fu.pol.redondo com ench.2fios refl.0,5mm)",,,01/11/2022,,,PARES,100 CM,"3,15","3,06","3,06",,,"0,72","0,7",
"M13734(cad.tranç.32fu.pol.redondo com ench.2fios refl.0,5mm)",,,01/11/2022,,,PARES,100 CM,"0,72","0,70","0,70",,,,,
M13724(cad.tranç.32fu.pol.chato c/detalhe 6mm),(preço ajustado desconto 30/03/2023),,30/03/2023,,,PARES,100 CM,,,,,,"0,62","0,6",
M13724(cad.tranç.32fu.pol.chato c/detalhe 6mm),,,01/11/2022,,,PARES,100 CM,"0,62","0,60","0,60",,,,,
,,,,,,,,,,,,,,,
M13739(cad.tranç.32fu.pol.chato tubular 3 fios p/espulas),,,01/11/2022,,,PARES,100 CM,"1,20","1,16","1,16",,,"0,82","0,8",
M13739(cad.tranç.32fu.pol.chato tubular 3 fios p/espulas),,,01/11/2022,,,PARES,100 CM,"0,82","0,80","0,80",,,,,
M13725(cad.tranç.32fu.pol.redondo monocolor ),(preço ajustado desconto 30/03/2023),,30/03/2023,,,PARES,100 CM,,,,,,"0,75","0,73",
M13725(cad.tranç.32fu.pol.redondo monocolor ),,,01/11/2022,,,PARES,100 CM,"0,75","0,73","0,73",,,,,
,,,,,,,,,,,,,,,
,,,01/11/2022,,,,,"0,72","0,70","0,70",,,"0,82","0,8",
,,,01/11/2022,,,,,"0,82","0,80","0,80",,,,,
M13727(cad.tranç.32fu.pol.redondo c/detalhe),(preço ajustado desconto 30/03/2023),,30/03/2023,,,PARES,100 CM,,,,,,"0,75","0,73",
M13727(cad.tranç.32fu.pol.redondo c/detalhe),,,01/11/2022,,,PARES,100 CM,"0,75","0,73","0,73",,,,,
,,,,,,,,,,,,,,,
"M13734(cad.tranç.32fu.pol.redondo com ench.2fios refl.0,5mm)",,,05/06/2023,,,PARES,100 CM,,,,,,"3,15","3,06",
"M13734(cad.tranç.32fu.pol.redondo com ench.2fios refl.0,5mm)",,,01/11/2022,,,PARES,100 CM,"3,15","3,06","3,06",,,,,
,,,,,,,,,,,,,,,
M13739(cad.tranç.32fu.pol.chato tubular 3 fios p/espulas),,,05/07/2023,,,PARES,100 CM,,,,,,"1,25","1,22",
M13739(cad.tranç.32fu.pol.chato tubular 3 fios p/espulas),,,01/11/2022,,,PARES,100 CM,"1,25","1,22","1,22",,,,,
M13739(cad.tranç.32fu.pol.chato tubular 3 fios p/espulas),(desconto realizado 20/07/2023),,20/07/2023,,,PARES,100 CM,,,,,,"1,2","1,16",
M13739(cad.tranç.32fu.pol.chato tubular 3 fios p/espulas),,,01/11/2022,,,PARES,100 CM,"1,20","1,16","1,16",,,,,
M13761(cad.tranç.32fu.2fios pol.p/espulas bicolor Adidas),,,01/11/2022,,,PARES,100 CM,"1,38","1,34","1,34",,,,,
M13741(cad.tranç.32fu.2/3fios pol.2x76/36KS-SF Asics),(c/desconto concedido),,29/02/2024,,,PARES,100 CM,,,,,,"0,74","0,72",
M13741(cad.tranç.32fu.2/3fios pol.2x76/36KS-SF Asics),,,01/11/2022,,,PARES,100 CM,"0,74","0,72","0,72",,,,,
M13762(cad.tranç.32fu.2fios pol.p/esp.c/ponteira personal.Umbro),,,01/11/2022,,,PARES,100 CM,"0,94","0,91","0,91",,,"0,72","0,7",
M13762(cad.tranç.32fu.2fios pol.p/esp.c/ponteira personal.Umbro),,,01/11/2022,,,PARES,100 CM,"0,72","0,70","0,70",,,,,
,,,,,,,,,,,,,,,
M13768(cad.tranç.32fu.4fios p/espulas c/pont.personalizada Umbro),,,01/11/2022,,,PARES,100 CM,"1,64","1,59","1,59",,,"1,18","1,14",
M13768(cad.tranç.32fu.4fios p/espulas c/pont.personalizada Umbro),,,01/11/2022,,,PARES,100 CM,"1,18","1,14","1,14",,,,,
,,,,,,,,,,,,,,,
M13769(cad.tranç.32fu.2fios p/esp. Pol.Umbro c/pont.personalizada),,,01/11/2022,,,PARES,100 CM,"1,05","1,02","1,02",,,"0,89","0,86",
M13769(cad.tranç.32fu.2fios p/esp. Pol.Umbro c/pont.personalizada),,,01/11/2022,,,PARES,100 CM,"0,89","0,86","0,86",,,,,
,,,,,,,,,,,,,,,
M13772(cad.tranç.32fu.2fios p/esp. Pol. Bicolor Asics),,,01/11/2022,,,PARES,100 CM,"1,26","1,22","1,22",,,"1,26","1,23",
M13772(cad.tranç.32fu.2fios p/esp. Pol. Bicolor Asics),,,01/11/2022,,,PARES,100 CM,"1,26","1,23","1,23",,,,,
,,,,,,,,,,,,,,,
M13780(cad.tranç.32fu.2 e 1 fios pol. p/espula New Balance),,,01/11/2022,,,PARES,100 CM,"1,14","1,09","1,09",,,"1,38","1,34",
M13780(cad.tranç.32fu.2 e 1 fios pol. p/espula New Balance),,,01/11/2022,,,PARES,100 CM,"1,38","1,34","1,34",,,,,
,,,,,,,,,,,,,,,
M13789(cad.tran;32f.2fios pol.p/espu.4mm c/2espu.lurex c/pont.personalizada Umbro),,,01/11/2022,,,PARES,100 CM,"0,84",,,,,"0,94","0,91",
M13789(cad.tran;32f.2fios pol.p/espu.4mm c/2espu.lurex c/pont.personalizada Umbro),,,01/11/2022,,,PARES,100 CM,"0,94","0,91","0,91",,,,,
,,,,,,,,,,,,,,,
M13795(cad.tranç.32fu.1fio pol.brilh.p/espula FILA AREZZO),,,01/11/2022,,,PARES,100 CM,"1,03","1,00","1,00",,,"1,64","1,59",
M13795(cad.tranç.32fu.1fio pol.brilh.p/espula FILA AREZZO),,,01/11/2022,,,PARES,100 CM,"1,64","1,59","1,59",,,,,
,,,,,,,,,,,,,,,
M13769(cad.tranç.32fu.2fios p/esp. Pol.Umbro c/pont.personalizada),,,28/11/2024,,,PARES,100 CM,,,,,,"1,05","1,02",
M13769(cad.tranç.32fu.2fios p/esp. Pol.Umbro c/pont.personalizada),,,1/11/2022,,,PARES,100 CM,"1,05","1,02","1,02",,,,,
M60109(cad.tranç.48fu.fio 30/2 fiado pol.8mm New Balance),,,01/11/2022,,,PARES,100 CM,"1,32","1,28","1,28",,,,,
M13772(cad.tranç.32fu.2fios p/esp. Pol. Bicolor Asics),,,28/02/2025,,,PARES,100 CM,,,,,,"1,26","1,22",
M13772(cad.tranç.32fu.2fios p/esp. Pol. Bicolor Asics),,,01/11/2022,,,PARES,100 CM,"1,26","1,22","1,22",,,,,
M60123(cad.tranç.48fu.2 e 3fios 30/2fiado 10mm New B. normal),,,01/11/2022,,,PARES,100 CM,"1,88","1,82","1,82",,,,,
M13780(cad.tranç.32fu.2 e 1 fios pol. p/espula New Balance),,,22/09/2025,,,PARES,100 CM,,,,,,"1,14","1,09",
M13780(cad.tranç.32fu.2 e 1 fios pol. p/espula New Balance),,,01/11/2022,,,PARES,100 CM,"1,14","1,09","1,09",,,,,
M60123(cad.tranç.48f.2 e 3fios 30/2 fiado 10mm New B.c/goma),,,01/11/2022,,,PARES,100 CM,"2,16","2,10","2,10",,,,,
M13789(cad.tran;32f.2fios pol.p/espu.4mm c/2espu.lurex c/pont.personalizada Umbro),,,31/07/2025,,,PARES,100 CM,,,,,,"0,84",,
M60126(cad.tranç.48fu.2fios 30/2fiado p/esp. 6mm Adidas),,,01/11/2022,,,PARES,100 CM,"1,18","1,15","1,15",,,,,
M13795(cad.tranç.32fu.1fio pol.brilh.p/espula FILA AREZZO),,,04/12/2025,,,PARES,100 CM,,,,,,"1,03",1,
